,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
5022,6390,Sunan Shuofang International Airport,Wuxi,China,WUX,ZSWX,31.4944000244,120.429000854,24,8,U,Asia/Shanghai,airport,OurAirports
5023,6391,Nanping Wuyishan Airport,Wuyishan,China,WUS,ZSWY,27.7019,118.000999,614,8,U,Asia/Shanghai,airport,OurAirports
5024,6392,Wenzhou Longwan International Airport,Wenzhou,China,WNZ,ZSWZ,27.912201,120.851997,0,8,U,Asia/Shanghai,airport,OurAirports
5025,6393,Yancheng Airport,Yancheng,China,YNZ,ZSYN,33.425833000000004,120.203056,0,8,U,Asia/Shanghai,airport,OurAirports
5026,6394,Yiwu Airport,Yiwu,China,YIW,ZSYW,29.344699859600002,120.03199768100001,262,8,U,Asia/Shanghai,airport,OurAirports
5027,6395,Zhoushan Airport,Zhoushan,China,HSN,ZSZS,29.9342002869,122.36199951200001,3,8,U,Asia/Shanghai,airport,OurAirports
5028,6396,Qamdo Bangda Airport,Bangda,China,BPX,ZUBD,30.553600311279297,97.1082992553711,14219,8,U,Asia/Shanghai,airport,OurAirports
5029,6397,Dachuan Airport,Dazhou,China,DAX,ZUDX,31.1302,107.4295,0,8,U,Asia/Shanghai,airport,OurAirports
5030,6398,Guangyuan Airport,Guangyuan,China,GYS,ZUGU,32.391101837158196,105.7020034790039,0,8,U,Asia/Shanghai,airport,OurAirports
5031,6399,Luzhou Airport,Luzhou,China,LZO,ZULZ,28.85219955444336,105.39299774169922,0,8,U,Asia/Shanghai,airport,OurAirports
5032,6400,Mianyang Airport,Mianyang,China,MIG,ZUMY,31.4281005859375,104.74099731445312,0,8,U,Asia/Shanghai,airport,OurAirports
5033,6401,Nanchong Airport,Nanchong,China,NAO,ZUNC,30.79545,106.1626,0,8,U,Asia/Shanghai,airport,OurAirports
5034,6402,Nyingchi Airport,Nyingchi,China,LZY,ZUNZ,29.303300857543945,94.33529663085938,9675,8,U,Asia/Shanghai,airport,OurAirports
5035,6403,Wanxian Airport,Wanxian,China,WXN,ZUWX,30.8017,108.43299999999999,0,8,U,Asia/Shanghai,airport,OurAirports
5036,6404,Aksu Airport,Aksu,China,AKU,ZWAK,41.262501,80.291702,3816,8,U,Asia/Shanghai,airport,OurAirports
5038,6406,Kuqa Airport,Kuqa,China,KCA,ZWKC,41.677856,82.872917,3524,8,U,Asia/Shanghai,airport,OurAirports
5039,6407,Korla Airport,Korla,China,KRL,ZWKL,41.69779968261719,86.12889862060547,0,8,U,Asia/Shanghai,airport,OurAirports
5040,6408,Karamay Airport,Karamay,China,KRY,ZWKM,45.46655,84.9527,0,8,U,Asia/Shanghai,airport,OurAirports
5041,6409,Yining Airport,Yining,China,YIN,ZWYN,43.955799,81.330299,0,8,U,Asia/Shanghai,airport,OurAirports
5042,6410,Heihe Airport,Heihe,China,HEK,ZYHE,50.1716209371,127.308883667,8530,8,U,Asia/Shanghai,airport,OurAirports
5043,6411,Jiamusi Airport,Jiamusi,China,JMU,ZYJM,46.84339904789999,130.464996338,262,8,U,Asia/Shanghai,airport,OurAirports
5044,6412,Jinzhou Airport,Jinzhou,China,JNZ,ZYJZ,41.10139846801758,121.06199645996094,0,8,U,Asia/Shanghai,airport,OurAirports
5045,6413,Qiqihar Sanjiazi Airport,Qiqihar,China,NDG,ZYQQ,47.239601135253906,123.91799926757812,477,8,U,Asia/Shanghai,airport,OurAirports
5046,6414,Yanji Chaoyangchuan Airport,Yanji,China,YNJ,ZYYJ,42.8828010559,129.451004028,624,8,U,Asia/Shanghai,airport,OurAirports
5055,6426,Worcester Regional Airport,Worcester,United States,ORH,KORH,42.26729965209961,-71.87570190429688,1009,-5,A,America/New_York,airport,OurAirports
5056,6427,Anqing Tianzhushan Airport,Anqing,China,AQG,ZSAQ,30.582199,117.050003,0,8,N,Asia/Shanghai,airport,OurAirports
5057,6429,Shanhaiguan Airport,Qinhuangdao,China,SHP,ZBSH,39.968102,119.731003,30,8,N,Asia/Shanghai,airport,OurAirports
5058,6430,Yuncheng Guangong Airport,Yuncheng,China,YCU,ZBYC,35.116391,111.031388889,1242,8,N,Asia/Shanghai,airport,OurAirports
5060,6432,Jiayuguan Airport,Jiayuguan,China,JGN,ZLJQ,39.856899,98.3414,5112,8,N,Asia/Shanghai,airport,OurAirports
5061,6433,Dandong Airport,Dandong,China,DDG,ZYDD,40.0247,124.28600300000001,30,8,N,Asia/Shanghai,airport,OurAirports
5062,6434,Ordos Ejin Horo Airport,Dongsheng,China,DSN,ZBDS,39.49,109.861388889,4557,8,N,Asia/Shanghai,airport,OurAirports
5063,6435,Bao'anying Airport,Panzhihua,China,PZI,ZUZH,26.54,101.79852,1620,8,N,Asia/Shanghai,airport,OurAirports
5070,6456,Provincetown Municipal Airport,Provincetown,United States,PVC,KPVC,42.071899414099995,-70.2213973999,9,-5,A,America/New_York,airport,OurAirports
5072,6460,Gustaf III Airport,Gustavia,France,SBH,TFFJ,17.904399871826172,-62.84360122680664,49,-4,E,\N,airport,OurAirports
5075,6466,Donskoye Airport,Tambow,Russia,TBW,UUOT,52.806098937988004,41.482799530029,413,3,N,Europe/Moscow,airport,OurAirports
5077,6477,Erechim Airport,Erechim,Brazil,ERM,SSER,-27.66189956665039,-52.2682991027832,2498,-3,S,America/Sao_Paulo,airport,OurAirports
